id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	duration_h	in_range_h	in_range_percent	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	pool_id	pool_symbol
52594	42600	42900	300	49327594699958545071	3546323832632377054958	3574.89	228.65	191.88	2334.56	20	20	100	0.08	70.7949	72.9508	2.1559	71.8729	0x44e19e5Bfb18b4c0110146a733746DF3C5c669d7	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
100685	197100	197500	400	83328453897	64868764865578890339	200092.23	227.31	3.41	41.47	18	14	78	0.01	362673872.5553	377474119.1750	14800246.6197	370073995.8651	0x531677d0e1Ca6f5eC3B9c6524a5e4B43f97C0944	0	0	0	0	0	0	0	0	0x6fb30f3fcb864d49cdff15061ed5c6adfee40b40	USDC.e/WETH
244196	46300	46600	300	136898971490455665718	18869212912854652115113	14796.03	225.12	45.64	555.35	13	13	100	0.25	102.4903	105.6115	3.1211	104.0509	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	1	1	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
193431	49900	50600	700	731679068239688940204	33871725433280119594751	42911.73	220.80	15.44	187.81	16	16	100	0.03	146.8998	157.5507	10.6509	152.2252	0x7d86a61e66419dC7F48cC3B324f30395Eca72558	1	-887272	887272	0	0	1	5	300	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
193507	49900	50200	300	221878176898841127049	27303205217626082059497	22209.93	214.98	29.04	353.30	17	17	100	0.30	146.8998	151.3733	4.4735	149.1365	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	1	1	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
45562	43300	43700	400	72147100793613395890	6726689554725735948038	6060.16	214.03	52.98	644.56	30	30	100	0.04	75.9278	79.0264	3.0985	77.4771	0x5f81Ad8264B6fa7b02D5C0Ee1cc8EaEc5162b00A	1	-887272	887272	0	0	2	1	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
251427	47100	47600	500	242788097115653468366	19800687626336482934611	18862.19	212.53	33.80	411.26	10	10	100	0.08	111.0260	116.7181	5.6921	113.8721	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	2	2	50	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
51596	42500	42800	300	65762856994651095974	13340504447623456671481	9416.79	209.18	66.64	810.80	9	9	100	0.00	70.0905	72.2250	2.1345	71.1578	0x44e19e5Bfb18b4c0110146a733746DF3C5c669d7	1	-887272	887272	0	0	1	1	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
242789	46500	46800	300	161331341552627645190	16902374444402676301299	14556.08	207.39	42.74	520.03	4	4	100	0.04	104.5607	107.7449	3.1842	106.1528	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	1	1	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
394749	-81350	-80950	400	24898847559239853806899	8325792905560838313	28207.72	206.07	21.92	266.65	23	23	100	0.00	0.0003	0.0003	0.0000	0.0003	0x336e7e9BbA73FA2018Afb867332a0D62Bbc3C087	1	-887272	887272	0	0	4	3	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
47329	43600	43700	100	97522509023792951036	4467855104606361954032	5694.27	205.48	108.26	1317.14	3	3	100	0.03	78.2401	79.0264	0.7863	78.6332	0x44e19e5Bfb18b4c0110146a733746DF3C5c669d7	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
